H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t é
2 0 : 1 6 : 2 5 , 7 8 . 0 C , 5 3 . 0 %
2 0 : 1 6 : 2 5 , 2 9 . 0 C , 5 2 . 0 %
2 0 : 1 6 : 2 5 , 1 7 . 0 C , 2 5 . 0 %
H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 1 9 : 2 6 , 3 0 . 0 C , 5 0 . 0 %
2 0 : 1 9 : 2 8 , 1 0 0 . 0 C , 6 1 . 0 %
m o y e n n e : 6 5 . 0 , m i n i m u m : 3 0 . 0 , m a x i m u m : , 1 0 0 . 0

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 2 1 : 1 5 , 9 4 . 0 " " C , 2 2 . 0 " " %
2 0 : 2 1 : 1 7 , 6 8 . 0 " " C , 9 4 . 0 " " %
2 0 : 2 1 : 1 9 , 6 6 . 0 " " C , 6 9 . 0 " " %
2 0 : 2 1 : 2 1 , 1 7 . 0 " " C , 6 5 . 0 " " %
m o y e n n e : 6 1 . 2 5 , m i n i m u m : 1 7 . 0 , m a x i m u m : 9 4 . 0

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 2 1 : 1 5 , 9 4 . 0 " " C , 2 2 . 0 " " %
2 0 : 2 1 : 1 7 , 6 8 . 0 " " C , 9 4 . 0 " " %
2 0 : 2 1 : 1 9 , 6 6 . 0 " " C , 6 9 . 0 " " %
2 0 : 2 1 : 2 1 , 1 7 . 0 " " C , 6 5 . 0 " " %
m o y e n n e : 6 1 . 2 5 , m i n i m u m : 1 7 . 0 , m a x i m u m : 9 4 . 0

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 2 9 : 2 3 , 9 1 . 0 C , 6 7 . 0 %
2 0 : 2 9 : 2 5 , 9 7 . 0 C , 3 4 . 0 %
m o y e n n e : 9 4 . 0 , m i n i m u m : 9 1 . 0 , m a x i m u m : 9 7 . 0

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 3 4 : 3 0 , 5 3 . 0 C , 8 . 0 %
2 0 : 3 4 : 3 2 , 9 3 . 0 C , 5 0 . 0 %
2 0 : 3 4 : 3 4 , 9 5 . 0 C , 3 3 . 0 %
m o y e n n e : 8 0 . 3 3 , m i n i m u m : 5 3 . 0 , m a x i m u m : 9 5 . 0

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 3 8 : 2 2 , 1 0 0 . 0 C , 3 5 . 0 %

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 4 0 : 1 9 , 4 5 . 0 C , 6 5 . 0 %

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 5 6 : 5 8 , 3 4 . 0 C , 2 1 . 0 %

H e u r e , T e m p e r a t u r e , T a u x " " d ' h u m i d i t e
2 0 : 5 8 : 5 1 , 7 8 . 0 C , 2 2 . 0 %
